bsym,CustomerID,total_amt,max_amt,min_amt,total_cnt,max_cnt,min_cnt,total_qty,max_qty,min_qty,Country,peak_time,season,freq,avg_amt,target
2009-12,12437,578.28,578.28,578.28,1,27,27,263,24,3,ETC,Afternoon,Winter,0.03225806451612903,578.28,1
2009-12,12523,74.56,74.56,74.56,1,4,4,62,36,4,ETC,Afternoon,Winter,0.03225806451612903,74.56,0
2009-12,12539,5149.06,2583.23,2565.83,2,104,103,2128,48,2,ETC,Afternoon,Winter,0.06451612903225806,2574.53,0
2009-12,12557,1952.64,1952.64,1952.64,1,3,3,576,216,144,ETC,Morning,Winter,0.03225806451612903,1952.64,0
2009-12,12664,549.08,549.08,549.08,1,4,4,134,72,2,ETC,Morning,Winter,0.03225806451612903,549.08,0
2009-12,12681,1014.54,1014.54,1014.54,1,46,46,650,72,1,ETC,Afternoon,Winter,0.03225806451612903,1014.54,1
2009-12,12682,1072.95,507.9,138.75,3,19,9,415,25,1,ETC,Afternoon,Winter,0.0967741935483871,357.65000000000003,1
2009-12,12709,1412.68,1196.68,216,2,17,1,363,36,1,ETC,Afternoon,Winter,0.06451612903225806,706.34,1
2009-12,12712,333.8,333.8,333.8,1,21,21,196,25,2,ETC,Morning,Winter,0.03225806451612903,333.8,0
2009-12,12747,1032,380.65000000000003,303.2,3,12,4,204,48,1,UK,Morning,Winter,0.0967741935483871,344,0
2009-12,12748,1831.21,801.3,7.8,7,32,1,804,200,1,UK,Afternoon,Winter,0.22580645161290322,261.6014285714286,1
2009-12,12785,366.9,366.9,366.9,1,19,19,172,60,2,ETC,Afternoon,Winter,0.03225806451612903,366.9,0
2009-12,12826,458.20000000000005,458.20000000000005,458.20000000000005,1,8,8,268,100,12,UK,Morning,Winter,0.03225806451612903,458.20000000000005,0
2009-12,12835,1040.31,290.15,66.9,5,29,10,410,20,1,UK,Afternoon,Winter,0.16129032258064516,208.06199999999998,1
2009-12,12839,969.78,346,307.24,3,21,13,652,36,4,UK,Afternoon,Winter,0.0967741935483871,323.26,1
2009-12,12872,407.22,407.22,407.22,1,42,42,227,24,1,UK,Evening,Winter,0.03225806451612903,407.22,1
2009-12,12913,741.9599999999999,537.9599999999999,204,2,5,2,268,58,24,UK,Afternoon,Winter,0.06451612903225806,370.97999999999996,1
2009-12,12917,1552.9,1552.9,1552.9,1,7,7,322,60,10,UK,Afternoon,Winter,0.03225806451612903,1552.9,0
2009-12,12924,280.35,194.10000000000002,15.45,3,5,2,159,36,1,UK,Afternoon,Winter,0.0967741935483871,93.45,0
2009-12,12931,1268.75,1160,108.75,2,1,1,875,800,75,UK,Afternoon,Winter,0.06451612903225806,634.375,1
2009-12,12948,252.48000000000002,128.48000000000002,124,2,6,3,224,96,6,UK,Afternoon,Winter,0.06451612903225806,126.24000000000001,0
2009-12,12949,1794.7,1794.7,1794.7,1,64,64,896,48,2,UK,Afternoon,Winter,0.03225806451612903,1794.7,1
2009-12,12975,441.63,441.63,441.63,1,23,23,115,12,1,UK,Morning,Winter,0.03225806451612903,441.63,0
2009-12,13004,306.54,306.54,306.54,1,19,19,146,24,2,UK,Morning,Winter,0.03225806451612903,306.54,1
2009-12,13008,189.31,189.31,189.31,1,11,11,75,12,3,UK,Afternoon,Winter,0.03225806451612903,189.31,0
2009-12,13013,756.51,756.51,756.51,1,27,27,346,25,4,UK,Morning,Winter,0.03225806451612903,756.51,0
2009-12,13047,306.3,306.3,306.3,1,12,12,238,48,3,UK,Morning,Winter,0.03225806451612903,306.3,1
2009-12,13050,327.91,327.91,327.91,1,19,19,139,12,3,UK,Afternoon,Winter,0.03225806451612903,327.91,1
2009-12,13074,313.3,313.3,313.3,1,12,12,150,60,2,UK,Morning,Winter,0.03225806451612903,313.3,1
2009-12,13077,638.59,420.15000000000003,218.44,2,43,10,337,32,1,UK,Afternoon,Winter,0.06451612903225806,319.295,0
2009-12,13091,1976,1213.02,762.98,2,23,1,873,120,1,UK,Afternoon,Winter,0.06451612903225806,988,0
2009-12,13097,1237.73,544.73,164.1,3,63,9,537,25,1,UK,Afternoon,Winter,0.0967741935483871,412.57666666666665,1
